date	txCount	price(USD)
2017-02-17	2731	3.78
2017-02-18	2302	3.83
2017-02-19	3204	3.79
2017-02-20	2738	3.77
2017-02-21	2573	3.76
2017-02-22	2635	3.79
2017-02-23	2620	3.8
2017-02-24	3125	3.83
2017-02-25	2453	3.85
2017-02-26	2942	3.82
2017-02-27	3019	3.81
2017-02-28	2631	3.8
2017-03-01	2573	3.77
2017-03-02	3203	3.8
2017-03-03	2882	3.92
2017-03-04	2533	3.91
2017-03-05	2533	3.86
2017-03-06	2499	3.87
2017-03-07	2458	3.89
2017-03-08	2543	3.81
2017-03-09	2464	3.77
2017-03-10	2510	3.83
2017-03-11	3012	3.76
2017-03-12	2880	3.79
2017-03-13	3146	3.85
2017-03-14	2656	4.17
2017-03-15	2886	4.05
2017-03-16	3653	4.15
2017-03-17	3483	4.23
2017-03-18	4170	4.04
2017-03-19	3689	3.96
2017-03-20	3146	3.95
2017-03-21	3148	4.04
2017-03-22	3408	3.99
2017-03-23	3444	3.93
2017-03-24	3818	3.97
2017-03-25	3649	4.07
2017-03-26	3937	4.07
2017-03-27	3294	4.07
2017-03-28	3641	4.07
2017-03-29	4511	4.14
2017-03-30	10619	4.18
2017-03-31	7207	7.02
2017-04-01	5477	6.65
2017-04-02	7467	6.86
2017-04-03	7652	7.74
2017-04-04	6794	8.12
2017-04-05	9620	8.25
2017-04-06	8754	11.12
2017-04-07	6023	10.22
2017-04-08	5759	9.34
2017-04-09	6858	9.89
2017-04-10	5929	8.72
2017-04-11	6468	8.91
2017-04-12	8222	8.83
2017-04-13	5025	10.76
2017-04-14	5070	10.13
2017-04-15	4631	10.34
2017-04-16	4292	10.75
2017-04-17	5361	10.6
2017-04-18	5560	10.42
2017-04-19	5477	10.31
2017-04-20	4556	9.63
2017-04-21	6476	10.29
2017-04-22	8028	11.18
2017-04-23	9973	13.07
2017-04-24	6675	13.96
2017-04-25	7240	14.98
2017-04-26	7795	15.21
2017-04-27	6917	14.84
2017-04-28	6074	14.59
2017-04-29	5990	14.4
2017-04-30	5989	15.7
2017-05-01	6543	15.71
2017-05-02	6522	15.92
2017-05-03	11914	15.88
2017-05-04	14330	21.04
2017-05-05	12755	23.47
2017-05-06	9550	26.47
2017-05-07	12455	28.2
2017-05-08	11874	30.37
2017-05-09	12872	28.96
2017-05-10	17635	33.3
2017-05-11	12483	32.66
2017-05-12	10242	30.93
2017-05-13	8557	27.22
2017-05-14	8025	29.09
2017-05-15	10690	28.89
2017-05-16	12540	25.34
2017-05-17	12639	23.24
2017-05-18	10631	25.17
2017-05-19	12384	28.29
2017-05-20	10803	27.68
2017-05-21	13207	27.48
2017-05-22	16172	26.14
2017-05-23	15601	25.3
2017-05-24	15907	32.12
2017-05-25	16143	34.47
2017-05-26	12953	30.33
2017-05-27	11572	23.4
2017-05-28	9833	24.01
2017-05-29	8862	24.32
2017-05-30	11084	25.32
2017-05-31	11714	24.29
2017-06-01	15795	25.34
2017-06-02	13871	28.9
2017-06-03	13426	29.04
2017-06-04	11704	27.65
2017-06-05	15647	28.09
2017-06-06	15331	30.84
2017-06-07	14840	30.57
